timestamp,is_detected
2025-08-05 14:28:50,False
2025-08-05 14:28:52,False
2025-08-05 14:28:53,False
2025-08-05 14:28:54,False
2025-08-05 14:28:55,False
2025-08-05 14:28:56,False
2025-08-05 14:28:57,False
2025-08-05 14:28:58,False
2025-08-05 14:28:59,False
2025-08-05 14:29:00,False
2025-08-05 14:29:01,False
2025-08-05 14:29:02,False
2025-08-05 14:29:03,False
2025-08-05 14:29:04,False
2025-08-05 14:29:05,False
2025-08-05 14:29:06,False
2025-08-05 14:29:07,False
2025-08-05 14:29:08,False
2025-08-05 14:29:09,False
2025-08-05 14:29:10,False
2025-08-05 14:29:11,False
2025-08-05 14:29:12,False
2025-08-05 14:29:13,False
2025-08-05 14:29:14,False
2025-08-05 14:29:15,False
2025-08-05 14:29:16,False
2025-08-05 14:29:17,False
2025-08-05 14:29:18,False
2025-08-05 14:29:19,False
2025-08-05 14:29:20,False
2025-08-05 14:29:21,False
2025-08-05 14:29:22,False
2025-08-05 14:29:23,False
2025-08-05 14:29:24,False
2025-08-05 14:29:25,False
2025-08-05 14:29:26,False
2025-08-05 14:29:27,False
2025-08-05 14:29:28,False
2025-08-05 14:29:29,False
2025-08-05 14:29:30,False
2025-08-05 14:29:31,False
2025-08-05 14:29:33,False
2025-08-05 14:29:34,False
2025-08-05 14:29:35,False
2025-08-05 14:29:36,False
2025-08-05 14:29:37,False
2025-08-05 14:29:38,False
2025-08-05 14:29:39,False
2025-08-05 14:29:40,False
2025-08-05 14:29:41,False
2025-08-05 14:29:42,False
2025-08-05 14:29:43,False
2025-08-05 14:29:44,False
2025-08-05 14:29:45,False
2025-08-05 14:29:46,False
2025-08-05 14:29:47,False
2025-08-05 14:29:48,False
2025-08-05 14:29:49,False
2025-08-05 14:29:50,False
2025-08-05 14:29:51,False
2025-08-05 14:29:52,False
2025-08-05 14:29:53,False
2025-08-05 14:29:54,False
2025-08-05 14:29:55,False
2025-08-05 14:29:56,False
2025-08-05 14:29:57,False
2025-08-05 14:29:58,False
2025-08-05 14:29:59,False
2025-08-05 14:30:00,False
2025-08-05 14:30:01,False
2025-08-05 14:30:02,False
2025-08-05 14:30:03,False
2025-08-05 14:30:04,False
2025-08-05 14:30:05,False
2025-08-05 14:30:06,False
2025-08-05 14:30:07,False
2025-08-05 14:30:08,False
2025-08-05 14:30:09,False
2025-08-05 14:30:10,False
2025-08-05 14:30:11,False
2025-08-05 14:30:12,False
2025-08-05 14:30:13,False
2025-08-05 14:30:14,False
2025-08-05 14:30:16,False
2025-08-05 14:30:17,False
2025-08-05 14:30:18,False
2025-08-05 14:30:19,False
2025-08-05 14:30:20,False
2025-08-05 14:30:21,False
2025-08-05 14:30:22,False
2025-08-05 14:30:23,False
2025-08-05 14:30:24,False
2025-08-05 14:30:25,False
2025-08-05 14:30:26,False
2025-08-05 14:30:27,False
2025-08-05 14:30:28,False
2025-08-05 14:30:29,False
2025-08-05 14:30:30,False
2025-08-05 14:30:31,False
2025-08-05 14:30:32,False
2025-08-05 14:30:33,False
2025-08-05 14:30:34,False
2025-08-05 14:30:35,False
2025-08-05 14:30:36,False
2025-08-05 14:30:37,False
2025-08-05 14:30:38,False
2025-08-05 14:30:39,False
2025-08-05 14:30:40,False
2025-08-05 14:30:41,False
2025-08-05 14:30:42,False
2025-08-05 14:30:43,False
2025-08-05 14:30:44,False
